,State,P_ACT,S_ACT,Year,P_SAT,S_SAT
115,Illinois,0.35,0.6852941176470588,2019,1.0,0.5108333333333334
116,Indiana,0.29,0.6323529411764706,2019,0.66,0.5666666666666667
117,Iowa,0.66,0.6058823529411765,2019,0.03,0.7033333333333334
118,Kansas,0.72,0.5941176470588235,2019,0.04,0.7008333333333333
119,Kentucky,1.0,0.5529411764705883,2019,0.04,0.6933333333333334
120,Louisiana,1.0,0.5235294117647059,2019,0.05,0.6666666666666666
121,Maine,0.06,0.6852941176470588,2019,0.99,0.5108333333333334
122,Maryland,0.28,0.6264705882352941,2019,0.82,0.5483333333333333
123,Massachusetts,0.21,0.7205882352941176,2019,0.81,0.6
124,Michigan,0.19,0.6882352941176471,2019,1.0,0.5025
125,Minnesota,0.95,0.6,2019,0.04,0.7366666666666667
126,Mississippi,1.0,0.5117647058823529,2019,0.03,0.6975
127,Missouri,0.82,0.5823529411764706,2019,0.04,0.6966666666666667
128,Montana,1.0,0.5529411764705883,2019,0.09,0.6658333333333334
129,Nebraska,1.0,0.5588235294117647,2019,0.03,0.7166666666666667
130,Nevada,1.0,0.4970588235294117,2019,0.2,0.63
131,New Hampshire,0.14,0.7058823529411765,2019,0.95,0.5491666666666667
132,New Jersey,0.25,0.6823529411764706,2019,0.82,0.575
133,New Mexico,0.63,0.538235294117647,2019,0.18,0.5608333333333333
134,New York,0.22,0.6911764705882353,2019,0.79,0.5533333333333333
135,North Carolina,1.0,0.5294117647058824,2019,0.51,0.5833333333333334
136,North Dakota,0.96,0.5558823529411764,2019,0.02,0.7191666666666666
137,Ohio,1.0,0.5588235294117647,2019,0.19,0.5808333333333333
138,Oklahoma,1.0,0.526470588235294,2019,0.22,0.4691666666666667
139,Oregon,0.42,0.5911764705882353,2019,0.51,0.5933333333333334
140,Pennsylvania,0.17,0.6647058823529413,2019,0.7,0.5683333333333334
141,Rhode Island,0.12,0.6970588235294117,2019,1.0,0.49583333333333335
142,South Carolina,0.78,0.5235294117647059,2019,0.68,0.525
143,South Dakota,0.75,0.6058823529411765,2019,0.03,0.7233333333333334
144,Tennessee,1.0,0.5411764705882353,2019,0.07,0.6833333333333333
145,Texas,0.39,0.5735294117647058,2019,0.68,0.5183333333333333
146,Utah,1.0,0.5676470588235294,2019,0.04,0.6916666666666667
147,Vermont,0.2,0.6794117647058824,2019,0.66,0.5883333333333334
148,Virginia,0.21,0.6764705882352942,2019,0.68,0.5991666666666666
149,Washington,0.24,0.6205882352941177,2019,0.7,0.5616666666666666
150,West Virginia,0.49,0.5823529411764706,2019,0.99,0.4525
151,Wisconsin,1.0,0.5676470588235294,2019,0.03,0.7358333333333333
152,Wyoming,1.0,0.5529411764705883,2019,0.03,0.6983333333333334
153,Puerto Rico,,,2019,,0.4533333333333333
154,Virgin Islands,,,2019,,0.44583333333333336
